pid,label,company,_date,decade,commentary,object_type,source,source_name,order,layout,collection,thumbnail,manifest
obj152,The Computer Age: The Evolution of IBM Computers Page 21,IBM,1976,70s,,brochure,CompAge_EvolIBM_1976_Page_21,,151,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj152/full/250,/0/default.jpg",/img/derivatives/iiif/obj152/manifest.json
obj153,The Computer Age: The Evolution of IBM Computers Page 22,IBM,1976,70s,,brochure,CompAge_EvolIBM_1976_Page_22,,152,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj153/full/250,/0/default.jpg",/img/derivatives/iiif/obj153/manifest.json
obj154,The Computer Age: The Evolution of IBM Computers Page 23,IBM,1976,70s,,brochure,CompAge_EvolIBM_1976_Page_23,,153,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj154/full/250,/0/default.jpg",/img/derivatives/iiif/obj154/manifest.json
obj155,The Computer Age: The Evolution of IBM Computers Page 24,IBM,1976,70s,,brochure,CompAge_EvolIBM_1976_Page_24,,154,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj155/full/250,/0/default.jpg",/img/derivatives/iiif/obj155/manifest.json
obj156,The Computer Age: The Evolution of IBM Computers Page 25,IBM,1976,70s,,brochure,CompAge_EvolIBM_1976_Page_25,,155,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj156/full/250,/0/default.jpg",/img/derivatives/iiif/obj156/manifest.json
obj157,The Computer Age: The Evolution of IBM Computers Page 26,IBM,1976,70s,,brochure,CompAge_EvolIBM_1976_Page_26,,156,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj157/full/250,/0/default.jpg",/img/derivatives/iiif/obj157/manifest.json
obj158,The Computer Age: The Evolution of IBM Computers Page 27,IBM,1976,70s,,brochure,CompAge_EvolIBM_1976_Page_27,,157,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj158/full/250,/0/default.jpg",/img/derivatives/iiif/obj158/manifest.json
obj159,The Computer Age: The Evolution of IBM Computers Page 28,IBM,1976,70s,,brochure,CompAge_EvolIBM_1976_Page_28,,158,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj159/full/250,/0/default.jpg",/img/derivatives/iiif/obj159/manifest.json
obj160,Computer Terminal Corporation Data Point 3300 Page 1,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_01,,159,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj160/full/250,/0/default.jpg",/img/derivatives/iiif/obj160/manifest.json
obj17,Bendix G15 Page 7,Bendix,1956,50s,,brochure,Bendix_G15_1956_Page_07,,16,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg",/img/derivatives/iiif/obj17/manifest.json
